[18:28:01] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:28:01] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,529348
[18:28:02] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il fait => 0,592335
[18:28:02] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,553301
[18:28:03] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est => 0,220266
[18:28:03] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va => 0,2090186
[18:28:03] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est quelle heure => 0,2483375
[18:28:03] [ENGINE - KINECT_0]	 AudioStateChanged (28:03.9):Silence
[18:28:10] [ENGINE - KINECT_0]	 AudioStateChanged (28:10.6):Speech
[18:28:10] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:28:10] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il => 0,1107344
[18:28:10] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il => 0,2201842
[18:28:11] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il fait => 0,1480367
[18:28:11] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il pleut => 0,001
[18:28:11] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il pleut ce => 0,1565841
[18:28:11] [ENGINE - KINECT_0]	 AudioStateChanged (28:11.9):Silence
[18:28:12] [ENGINE - KINECT_0]	 AudioStateChanged (28:12.1):Speech
[18:28:12] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:28:12] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,2118406
[18:28:12] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH mets => 0,4234943
[18:28:12] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,3982407
[18:28:12] [ENGINE - KINECT_0]	 AudioStateChanged (28:12.8):Silence
[18:28:15] [ENGINE - KINECT_0]	 AudioStateChanged (28:15.1):Speech
[18:28:15] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:28:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,155532
[18:28:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH mets => 0,3844315
